qid,method,retrieved_doc_ids,relevant_doc_ids,hit,reciprocal_rank,recall_at_k,ndcg_at_k,context_precision,faithfulness,latency_ms,latency_breakdown
q13,bm25,"['fastapi-async', 'fastapi-basics', 'sql-transactions', 'pip-vs-conda', 'fastapi-security', 'git-reset-revert']",['fastapi-async'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.152,"{'bm25': 0.152, 'total_ms': 0.152}"
q14,bm25,"['fastapi-async', 'pandas-merge-join', 'fastapi-basics', 'fastapi-security', 'numpy-dtypes', 'sql-joins', 'sql-transactions', 'python-venv']",['fastapi-async'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.092,"{'bm25': 0.092, 'total_ms': 0.092}"
q15,bm25,"['numpy-broadcasting', 'numpy-dtypes', 'sql-joins', 'numpy-views-copies', 'pip-vs-conda', 'fastapi-basics', 'fastapi-async']",['numpy-broadcasting'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.104,"{'bm25': 0.104, 'total_ms': 0.104}"
q16,bm25,"['numpy-views-copies', 'numpy-broadcasting', 'numpy-dtypes', 'git-branching', 'fastapi-security', 'rest-http-methods']",['numpy-views-copies'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.152,"{'bm25': 0.152, 'total_ms': 0.152}"
q17,bm25,"['pandas-merge-join', 'pandas-missing-data', 'git-branching', 'http-caching', 'sql-joins', 'pandas-groupby', 'pytest-fixtures', 'numpy-dtypes']",['pandas-merge-join'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.131,"{'bm25': 0.131, 'total_ms': 0.131}"
q18,bm25,"['pandas-missing-data', 'pandas-groupby', 'fastapi-async', 'pandas-merge-join', 'sql-joins']",['pandas-missing-data'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.166,"{'bm25': 0.166, 'total_ms': 0.166}"
q19,bm25,"['python-venv', 'pip-vs-conda', 'fastapi-async', 'sql-transactions', 'rest-http-methods', 'http-caching', 'git-remotes']",['python-venv'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.166,"{'bm25': 0.166, 'total_ms': 0.166}"
q20,bm25,"['pip-vs-conda', 'python-venv', 'fastapi-async', 'sql-transactions', 'vector-databases', 'sql-indexes', 'reranking-crossencoder', 'git-branching']",['pip-vs-conda'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.101,"{'bm25': 0.101, 'total_ms': 0.101}"
q21,bm25,"['pytest-fixtures', 'pytest-mocking', 'sql-joins', 'numpy-dtypes', 'fastapi-security', 'docker-volumes', 'git-reset-revert', 'pytest-assertions']",['pytest-fixtures'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.133,"{'bm25': 0.133, 'total_ms': 0.133}"
q22,bm25,"['pytest-assertions', 'pytest-mocking', 'fastapi-async', 'docker-volumes', 'pytest-fixtures', 'docker-images-containers', 'numpy-broadcasting']",['pytest-assertions'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.169,"{'bm25': 0.169, 'total_ms': 0.169}"
q23,bm25,"['rest-http-methods', 'pytest-assertions', 'fastapi-basics', 'http-caching', 'reranking-crossencoder', 'numpy-broadcasting', 'http-status-codes']",['rest-http-methods'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.084,"{'bm25': 0.084, 'total_ms': 0.084}"
q24,bm25,"['http-status-codes', 'pandas-groupby', 'dockerfile-best-practices', 'rest-http-methods', 'pandas-missing-data', 'numpy-dtypes', 'pandas-merge-join', 'sql-joins']","['http-status-codes', 'rest-http-methods']",True,1.0,"{1: 0.5, 3: 0.5, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 0.6131471927654584, 5: 0.8772153153380493, 10: 0.8772153153380493}",0.4,1.0,0.103,"{'bm25': 0.103, 'total_ms': 0.103}"
q25,bm25,"['http-status-codes', 'embeddings-similarity', 'fastapi-security', 'numpy-dtypes', 'docker-images-containers', 'sql-joins', 'bm25-explained']",['http-status-codes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.147,"{'bm25': 0.147, 'total_ms': 0.147}"
q26,bm25,"['sql-indexes', 'vector-databases', 'sql-joins', 'docker-compose', 'numpy-dtypes', 'pytest-fixtures']",['sql-indexes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.147,"{'bm25': 0.147, 'total_ms': 0.147}"
q27,bm25,"['sql-joins', 'pandas-merge-join', 'fastapi-security', 'numpy-dtypes', 'http-status-codes', 'git-branching', 'rest-http-methods']",['sql-joins'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.094,"{'bm25': 0.094, 'total_ms': 0.094}"
q28,bm25,"['rag-overview', 'bm25-explained', 'vector-databases', 'rest-http-methods', 'embeddings-similarity', 'git-branching', 'numpy-views-copies']",['rag-overview'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.133,"{'bm25': 0.133, 'total_ms': 0.133}"
q29,bm25,"['embeddings-similarity', 'numpy-dtypes', 'sql-joins', 'sql-transactions', 'pandas-merge-join', 'rest-http-methods', 'git-branching', 'git-reset-revert']",['embeddings-similarity'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.145,"{'bm25': 0.145, 'total_ms': 0.145}"
q30,bm25,"['bm25-explained', 'embeddings-similarity', 'reranking-crossencoder', 'vector-databases', 'git-branching', 'pandas-merge-join', 'rag-overview']","['bm25-explained', 'reranking-crossencoder']",True,1.0,"{1: 0.5, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 0.9197207891481876, 5: 0.9197207891481876, 10: 0.9197207891481876}",0.4,1.0,0.131,"{'bm25': 0.131, 'total_ms': 0.131}"
q31,bm25,"['reranking-crossencoder', 'rest-http-methods', 'bm25-explained', 'pip-vs-conda', 'vector-databases', 'docker-images-containers', 'embeddings-similarity', 'fastapi-security', 'http-status-codes']",['reranking-crossencoder'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.159,"{'bm25': 0.159, 'total_ms': 0.159}"
q32,bm25,"['reranking-crossencoder', 'dockerfile-best-practices', 'http-caching', 'pandas-groupby', 'pandas-merge-join', 'git-remotes', 'numpy-dtypes', 'pandas-missing-data', 'docker-images-containers', 'docker-volumes']",['reranking-crossencoder'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.114,"{'bm25': 0.114, 'total_ms': 0.114}"
q33,bm25,"['bm25-explained', 'numpy-dtypes', 'sql-joins', 'reranking-crossencoder', 'git-branching', 'pytest-mocking', 'rest-http-methods']",['bm25-explained'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.083,"{'bm25': 0.083, 'total_ms': 0.083}"
q34,bm25,"['numpy-views-copies', 'numpy-dtypes', 'numpy-broadcasting', 'sql-transactions', 'fastapi-async', 'docker-images-containers']",['numpy-views-copies'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.206,"{'bm25': 0.206, 'total_ms': 0.206}"
q35,bm25,"['git-stash', 'fastapi-async', 'rest-http-methods', 'git-remotes', 'http-caching', 'pytest-fixtures', 'git-reset-revert', 'pandas-missing-data', 'fastapi-security']",['git-stash'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.143,"{'bm25': 0.143, 'total_ms': 0.143}"
q36,bm25,"['git-remotes', 'git-branching', 'fastapi-async', 'http-caching', 'docker-volumes', 'git-reset-revert', 'python-venv']",['git-remotes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.156,"{'bm25': 0.156, 'total_ms': 0.156}"
q37,bm25,"['docker-volumes', 'git-branching', 'pandas-merge-join', 'docker-images-containers', 'fastapi-async', 'sql-transactions', 'rest-http-methods']",['docker-volumes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.167,"{'bm25': 0.167, 'total_ms': 0.167}"
q38,bm25,"['docker-volumes', 'docker-images-containers', 'git-branching', 'numpy-dtypes', 'git-remotes', 'embeddings-similarity', 'git-tags', 'docker-compose']",['docker-volumes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.195,"{'bm25': 0.195, 'total_ms': 0.195}"
q39,bm25,"['rest-http-methods', 'http-caching', 'git-reset-revert', 'numpy-views-copies', 'docker-images-containers', 'git-branching', 'http-status-codes']",['http-caching'],True,0.5,"{1: 0.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 0.0, 3: 0.6309297535714575, 5: 0.6309297535714575, 10: 0.6309297535714575}",0.2,1.0,0.193,"{'bm25': 0.193, 'total_ms': 0.193}"
q40,bm25,"['fastapi-security', 'fastapi-async', 'pytest-fixtures', 'sql-transactions', 'git-tags', 'git-remotes', 'fastapi-basics', 'docker-volumes', 'http-caching']",['fastapi-security'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.165,"{'bm25': 0.165, 'total_ms': 0.165}"
q41,bm25,"['pandas-groupby', 'fastapi-async', 'python-venv', 'sql-indexes', 'pandas-missing-data', 'sql-transactions', 'vector-databases', 'pytest-fixtures', 'embeddings-similarity']",['pandas-groupby'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.213,"{'bm25': 0.213, 'total_ms': 0.213}"
q42,bm25,"['numpy-dtypes', 'numpy-views-copies', 'numpy-broadcasting', 'fastapi-async', 'http-caching']",['numpy-dtypes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.181,"{'bm25': 0.181, 'total_ms': 0.181}"
q43,bm25,"['pytest-mocking', 'python-venv', 'pytest-fixtures', 'fastapi-async', 'sql-transactions', 'reranking-crossencoder', 'docker-compose', 'pandas-groupby']",['pytest-mocking'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.205,"{'bm25': 0.205, 'total_ms': 0.205}"
q44,bm25,"['sql-transactions', 'sql-joins', 'numpy-views-copies', 'numpy-dtypes', 'numpy-broadcasting', 'pandas-missing-data', 'pandas-merge-join', 'fastapi-async']",['sql-transactions'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.204,"{'bm25': 0.204, 'total_ms': 0.204}"
q45,bm25,"['git-tags', 'git-branching', 'pytest-mocking', 'embeddings-similarity', 'docker-images-containers', 'numpy-dtypes', 'http-caching']",['git-tags'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.197,"{'bm25': 0.197, 'total_ms': 0.197}"
q46,bm25,"['git-remotes', 'git-tags', 'fastapi-async', 'http-caching', 'git-stash', 'python-venv', 'numpy-broadcasting']",['git-tags'],True,0.5,"{1: 0.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 0.0, 3: 0.6309297535714575, 5: 0.6309297535714575, 10: 0.6309297535714575}",0.2,1.0,0.144,"{'bm25': 0.144, 'total_ms': 0.144}"
q47,bm25,"['fastapi-security', 'http-caching', 'numpy-views-copies', 'sql-indexes', 'sql-transactions', 'vector-databases', 'git-reset-revert', 'bm25-explained', 'docker-volumes', 'rest-http-methods']",['fastapi-security'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.167,"{'bm25': 0.167, 'total_ms': 0.167}"
q48,bm25,"['vector-databases', 'embeddings-similarity', 'sql-indexes', 'sql-transactions', 'git-remotes', 'pip-vs-conda']","['vector-databases', 'embeddings-similarity']",True,1.0,"{1: 0.5, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.4,1.0,0.176,"{'bm25': 0.176, 'total_ms': 0.176}"
q49,bm25,"['git-remotes', 'git-branching', 'git-stash', 'git-reset-revert', 'numpy-broadcasting', 'python-venv']",['git-remotes'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.182,"{'bm25': 0.182, 'total_ms': 0.182}"
q50,bm25,"['sql-transactions', 'sql-joins', 'numpy-dtypes', 'pandas-merge-join', 'git-branching', 'rest-http-methods', 'docker-volumes', 'git-reset-revert']",['sql-transactions'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.206,"{'bm25': 0.206, 'total_ms': 0.206}"
q01,dense,"['git-branching', 'git-remotes', 'git-tags', 'git-reset-revert', 'git-stash']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,8.952,"{'dense': 8.952, 'total_ms': 8.952}"
q02,dense,"['git-branching', 'git-remotes', 'git-reset-revert', 'git-stash']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,33.285,"{'dense': 33.285, 'total_ms': 33.285}"
q03,dense,"['git-branching', 'git-reset-revert', 'git-remotes', 'git-stash']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,31.365,"{'dense': 31.365, 'total_ms': 31.365}"
q04,dense,"['git-reset-revert', 'git-branching', 'git-remotes', 'git-tags', 'git-stash']",['git-reset-revert'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,29.54,"{'dense': 29.54, 'total_ms': 29.54}"
q05,dense,"['git-reset-revert', 'git-branching', 'git-stash', 'sql-transactions', 'git-remotes']",['git-reset-revert'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,10.164,"{'dense': 10.164, 'total_ms': 10.164}"
q06,dense,"['git-stash', 'git-branching', 'git-tags', 'git-reset-revert', 'git-remotes']",['git-stash'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,26.834,"{'dense': 26.834, 'total_ms': 26.834}"
q07,dense,"['git-stash', 'git-reset-revert', 'docker-volumes', 'rag-overview', 'dockerfile-best-practices']",['git-stash'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,30.521,"{'dense': 30.521, 'total_ms': 30.521}"
q08,dense,"['docker-images-containers', 'docker-compose', 'docker-volumes', 'dockerfile-best-practices']",['docker-images-containers'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,10.046,"{'dense': 10.046, 'total_ms': 10.046}"
q09,dense,"['dockerfile-best-practices', 'docker-images-containers', 'python-venv', 'docker-volumes', 'docker-compose']",['dockerfile-best-practices'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,9.378,"{'dense': 9.378, 'total_ms': 9.378}"
q10,dense,"['docker-compose', 'docker-images-containers', 'docker-volumes', 'dockerfile-best-practices']",['docker-compose'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,9.901,"{'dense': 9.901, 'total_ms': 9.901}"
q11,dense,"['fastapi-basics', 'fastapi-security', 'fastapi-async', 'docker-volumes']",['fastapi-basics'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,9.785,"{'dense': 9.785, 'total_ms': 9.785}"
q12,dense,"['fastapi-basics', 'fastapi-security', 'http-status-codes', 'fastapi-async']",['fastapi-basics'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,10.421,"{'dense': 10.421, 'total_ms': 10.421}"
q13,dense,"['fastapi-async', 'fastapi-basics', 'fastapi-security', 'pytest-fixtures']",['fastapi-async'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,32.185,"{'dense': 32.185, 'total_ms': 32.185}"
q14,dense,"['fastapi-async', 'fastapi-security', 'fastapi-basics', 'rag-overview']",['fastapi-async'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,33.249,"{'dense': 33.249, 'total_ms': 33.249}"
q15,dense,"['numpy-broadcasting', 'numpy-dtypes', 'numpy-views-copies', 'python-venv']",['numpy-broadcasting'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,9.896,"{'dense': 9.896, 'total_ms': 9.896}"
q16,dense,"['numpy-views-copies', 'numpy-dtypes', 'numpy-broadcasting', 'reranking-crossencoder']",['numpy-views-copies'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,32.989,"{'dense': 32.989, 'total_ms': 32.989}"
q17,dense,"['pandas-merge-join', 'pandas-groupby', 'pandas-missing-data', 'git-branching']",['pandas-merge-join'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,9.567,"{'dense': 9.567, 'total_ms': 9.567}"
q18,dense,"['pandas-missing-data', 'pandas-groupby', 'pandas-merge-join', 'numpy-dtypes']",['pandas-missing-data'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,8.151,"{'dense': 8.151, 'total_ms': 8.151}"
q19,dense,"['python-venv', 'pip-vs-conda', 'pytest-mocking', 'pytest-assertions', 'docker-compose']",['python-venv'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,8.489,"{'dense': 8.489, 'total_ms': 8.489}"
q20,dense,"['pip-vs-conda', 'python-venv', 'pandas-merge-join', 'pytest-fixtures', 'pytest-mocking']",['pip-vs-conda'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,9.671,"{'dense': 9.671, 'total_ms': 9.671}"
q21,dense,"['pytest-fixtures', 'pytest-mocking', 'pytest-assertions', 'python-venv']",['pytest-fixtures'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,32.169,"{'dense': 32.169, 'total_ms': 32.169}"
q22,dense,"['pytest-assertions', 'pytest-mocking', 'pytest-fixtures', 'python-venv']",['pytest-assertions'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,9.047,"{'dense': 9.047, 'total_ms': 9.047}"
q23,dense,"['rest-http-methods', 'http-caching', 'http-status-codes', 'fastapi-basics']",['rest-http-methods'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.25,1.0,10.526,"{'dense': 10.526, 'total_ms': 10.526}"
